,All/repeat,All/repeat/mobile_element,All/repeat/mobile_element/Class_I,All/repeat/mobile_element/Class_I/LINE,All/repeat/mobile_element/Class_I/LTR,All/repeat/mobile_element/Class_I/LTR/Ty1_copia,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ikeros,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Galadriel,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Reina,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre,All/repeat/mobile_element/Class_I/pararetrovirus,All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA,All/repeat/mobile_element/Class_II/Subclass_1/TIR/hAT,All/repeat/mobile_element/Class_II/Subclass_1/TIR/MuDR_Mutator,All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger,All/repeat/mobile_element/Class_II/Subclass_2/Helitron,All/repeat/rDNA/45S_rDNA,All/repeat/rDNA/45S_rDNA/18S_rDNA,All/repeat/rDNA/45S_rDNA/25S_rDNA,All/repeat/rDNA/5S_rDNA,All/repeat/satellite,Other
All/repeat,1,-0.145263124,-0.168151427,0.627078132,-0.511362326,0.232178191,0.337919434,0.169546309,-0.119602003,0.046232953,0.15967386,0.100762207,0.2135946,0.569232831,-0.119602003,-0.119602003,-0.114949191,0.710312152,-0.119602003,0.466954962,-0.038889829,-0.064660016,-0.292200031,-0.131001236,-0.052654308,0.072616529,-0.364003749,-0.047957938,0.699123606,0.015425125,-0.218570742,0.421274556,-0.07633906,-0.34022869
All/repeat/mobile_element,-0.145263124,1,-0.115857516,0.246200345,-0.422959071,-0.17527286,0.128330632,0.19249081,-0.086753876,0.168128731,0.432455607,0.239732059,0.268502072,0.20275945,0.974765535,-0.086753876,0.250206543,0.001212143,-0.086753876,0.258722098,0.509593041,0.355014071,0.141890578,0.32775728,-0.035765085,0.459342948,-0.030056914,-0.086753876,0.006776493,-0.150888585,-0.158541317,-0.019987173,-0.206406961,-0.214475827
All/repeat/mobile_element/Class_I,-0.168151427,-0.115857516,1,-0.02261257,0.334032259,0.518983535,0.011609408,-0.095732069,0.988134241,0.140350358,0.223931723,-0.070937325,0.188061799,-0.048468288,-0.102563686,-0.146797734,0.362351484,-0.069950777,0.015309431,-0.168818129,0.368131115,0.011594274,0.011868012,0.421658029,0.142552997,0.373933919,0.14781538,-0.09228427,-0.096873481,-0.0970307,-0.101647392,-0.15761096,0.383903457,-0.141354578
All/repeat/mobile_element/Class_I/LINE,0.627078132,0.246200345,-0.02261257,1,-0.389353421,-0.030884027,0.208695965,0.364334252,0.049051865,0.110267283,0.109645982,0.143495915,0.401483811,0.695748216,0.202078598,-0.340517816,0.229819168,0.644813455,-0.258705588,0.367800687,0.117727136,0.141385108,-0.481578086,-0.076147513,0.181208344,0.185195654,-0.316798608,-0.02353806,0.72076932,-0.375856383,-0.334281873,0.378174662,0.059546258,-0.451317984
All/repeat/mobile_element/Class_I/LTR,-0.511362326,-0.422959071,0.334032259,-0.389353421,1,-0.063468695,-0.435839006,-0.226107879,0.30814224,-0.292724093,-0.374010188,-0.323402487,-0.474515981,-0.500033718,-0.365562277,0.18984259,-0.009577753,-0.44858243,0.225865216,-0.81440092,-0.380364798,-0.066685062,-0.209778518,-0.188263219,-0.244997371,-0.287474176,0.040073007,0.081722193,-0.417387557,0.217120622,0.380029242,-0.275558,0.556475045,0.549960537
All/repeat/mobile_element/Class_I/LTR/Ty1_copia,0.232178191,-0.17527286,0.518983535,-0.030884027,-0.063468695,1,0.289723658,-0.14622602,0.482269808,0.351270861,0.480776087,0.102045119,0.410512503,0.081120132,-0.14431044,-0.14431044,0.379444756,-0.12626564,-0.14431044,0.246973192,0.416838238,-0.021134496,0.218069557,0.465082101,0.035681619,0.381531095,0.290912421,-0.14431044,-0.116465182,-0.042381666,-0.263725013,-0.080866872,0.278271529,-0.35825508
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale,0.337919434,0.128330632,0.011609408,0.208695965,-0.435839006,0.289723658,1,-0.130052461,-0.051708226,0.748408103,0.680376672,0.825624811,0.625895746,0.508639603,0.077744237,-0.457306819,0.670908667,-0.036690335,0.282440013,0.727550864,0.610842503,0.525660686,0.527589724,0.611540051,0.310090209,0.537101397,0.355643643,-0.204802499,-0.095250759,0.103904311,-0.253953194,-0.229975839,-0.172315512,-0.670575945
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia,0.169546309,0.19249081,-0.095732069,0.364334252,-0.226107879,-0.14622602,-0.130052461,1,-0.092419285,0.285953216,-0.151269033,-0.282945018,0.090579284,0.663820704,0.211151946,-0.618455421,0.017342626,0.576897643,-0.008757723,0.369488521,-0.083878474,0.123099977,0.090668028,0.005016113,0.048082542,-0.115141482,0.013831132,0.252648322,0.601183796,-0.508674257,-0.367574696,0.618819894,-0.63514485,-0.448654827
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela,-0.119602003,-0.086753876,0.988134241,0.049051865,0.30814224,0.482269808,-0.051708226,-0.092419285,1,0.070126937,0.165696202,-0.128846326,0.15141148,-0.057107695,-0.071428571,-0.071428571,0.306930152,0.011020935,-0.071428571,-0.212963146,0.321902063,-0.05225457,-0.11146458,0.354454267,0.126830429,0.341099985,0.038391853,-0.071428571,-0.017401582,-0.124233712,-0.130534568,-0.094128411,0.406378507,-0.091418678
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca,0.046232953,0.168128731,0.140350358,0.110267283,-0.292724093,0.351270861,0.748408103,0.285953216,0.070126937,1,0.485240643,0.655879278,0.73513372,0.531529609,0.126227726,-0.751163653,0.789854592,-0.115073074,0.010813148,0.680301309,0.554827994,0.334044336,0.678854144,0.748651591,0.395263309,0.438076163,0.501251663,0.089234462,-0.122277319,-0.383705814,-0.628588278,-0.098053598,-0.419858723,-0.794921747
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ikeros,0.15967386,0.432455607,0.223931723,0.109645982,-0.374010188,0.480776087,0.680376672,-0.151269033,0.165696202,0.485240643,1,0.622413917,0.519032839,0.34048263,0.352936195,-0.222801227,0.63405983,-0.216047312,0.295531352,0.528873249,0.927238186,0.624284214,0.453244204,0.790070357,0.348178113,0.915398905,0.241011913,-0.222801227,-0.181557351,0.259041022,-0.011311713,-0.252428165,0.086312695,-0.466796641
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana,0.100762207,0.239732059,-0.070937325,0.143495915,-0.323402487,0.102045119,0.825624811,-0.282945018,-0.128846326,0.655879278,0.622413917,1,0.674676691,0.242823005,0.144360257,-0.399508837,0.632903136,-0.340561172,0.073686127,0.517774381,0.597389985,0.338458184,0.494013191,0.543959518,0.418783928,0.615521652,0.171492648,-0.097728286,-0.337007318,-0.027374407,-0.256936422,-0.503181322,-0.044067731,-0.493836809
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR,0.2135946,0.268502072,0.188061799,0.401483811,-0.474515981,0.410512503,0.625895746,0.090579284,0.15141148,0.73513372,0.519032839,0.674676691,1,0.447551897,0.212938498,-0.660482448,0.647069306,-0.071203073,-0.298362886,0.667865212,0.596603688,0.074952243,0.368127724,0.628987366,0.381831136,0.505298256,0.415420157,0.109586247,0.010042449,-0.521091832,-0.613161942,-0.249583361,-0.176845478,-0.79242776
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork,0.569232831,0.20275945,-0.048468288,0.695748216,-0.500033718,0.081120132,0.508639603,0.663820704,-0.057107695,0.531529609,0.34048263,0.242823005,0.447551897,1,0.150679139,-0.693037422,0.425155662,0.630020306,0.099943408,0.764147125,0.319124463,0.498101305,0.131452739,0.28449517,0.309566582,0.309173253,0.069175354,-0.057756247,0.688001738,-0.324532085,-0.445796295,0.451753705,-0.441138481,-0.810065974
All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy,-0.119602003,0.974765535,-0.102563686,0.202078598,-0.365562277,-0.14431044,0.077744237,0.211151946,-0.071428571,0.126227726,0.352936195,0.144360257,0.212938498,0.150679139,1,-0.071428571,0.162266364,0.035831612,-0.071428571,0.197705397,0.400720907,0.277121629,0.121591388,0.258380129,-0.232638772,0.34448983,-0.016059989,-0.071428571,0.002680911,-0.124233712,-0.130534568,-0.003085323,-0.203996201,-0.162050776
All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus,-0.119602003,-0.086753876,-0.146797734,-0.340517816,0.18984259,-0.14431044,-0.457306819,-0.618455421,-0.071428571,-0.751163653,-0.222801227,-0.399508837,-0.660482448,-0.693037422,-0.071428571,1,-0.525077979,-0.153206645,-0.071428571,-0.627339821,-0.273678433,-0.265443106,-0.502171912,-0.401393093,-0.232638772,-0.22145844,-0.424252571,-0.071428571,-0.189047283,0.562982982,0.502374055,-0.046661785,0.45092571,0.835913971
All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM,-0.114949191,0.250206543,0.362351484,0.229819168,-0.009577753,0.379444756,0.670908667,0.017342626,0.306930152,0.789854592,0.63405983,0.632903136,0.647069306,0.425155662,0.162266364,-0.525077979,1,-0.290289898,0.118023415,0.387600514,0.729741679,0.591635497,0.378407527,0.802077872,0.514290761,0.656096862,0.437544917,0.006461202,-0.217059085,-0.17641817,-0.376543348,-0.296254003,0.083431217,-0.601276313
All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Galadriel,0.710312152,0.001212143,-0.069950777,0.644813455,-0.44858243,-0.12626564,-0.036690335,0.576897643,0.011020935,-0.115073074,-0.216047312,-0.340561172,-0.071203073,0.630020306,0.035831612,-0.153206645,-0.290289898,1,-0.101071843,0.333316677,-0.230978687,-0.045123621,-0.409117818,-0.332861604,-0.065884062,-0.187922694,-0.421078754,0.011276392,0.942358424,-0.20582867,-0.240166999,0.70781874,-0.350503816,-0.276174107
All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Reina,-0.119602003,-0.086753876,0.015309431,-0.258705588,0.225865216,-0.14431044,0.282440013,-0.008757723,-0.071428571,0.010813148,0.295531352,0.073686127,-0.298362886,0.099943408,-0.071428571,-0.071428571,0.118023415,-0.101071843,1,0.01452823,0.18113233,0.700787642,0.289506029,0.144910997,-0.020788335,0.160981808,0.230378818,-0.071428571,-0.21018953,0.727391451,0.687722384,-0.206761406,0.013420064,0.090945319
All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay,0.466954962,0.258722098,-0.168818129,0.367800687,-0.81440092,0.246973192,0.727550864,0.369488521,-0.212963146,0.680301309,0.528873249,0.517774381,0.667865212,0.764147125,0.197705397,-0.627339821,0.387600514,0.333316677,0.01452823,1,0.505681908,0.354240383,0.534886544,0.45284439,0.331373577,0.391195655,0.318530682,-0.162577716,0.332498297,-0.285623593,-0.4849098,0.199523169,-0.602537341,-0.886579019
All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila,-0.038889829,0.509593041,0.368131115,0.117727136,-0.380364798,0.416838238,0.610842503,-0.083878474,0.321902063,0.554827994,0.927238186,0.597389985,0.596603688,0.319124463,0.400720907,-0.273678433,0.729741679,-0.230978687,0.18113233,0.505681908,1,0.586465563,0.451936553,0.873007936,0.538001746,0.936919487,0.283562013,-0.105721478,-0.19332604,0.061690045,-0.149638002,-0.28409247,0.011112197,-0.510059116
All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre,-0.064660016,0.355014071,0.011594274,0.141385108,-0.066685062,-0.021134496,0.525660686,0.123099977,-0.05225457,0.334044336,0.624284214,0.338458184,0.074952243,0.498101305,0.277121629,-0.265443106,0.591635497,-0.045123621,0.700787642,0.354240383,0.586465563,1,0.316978978,0.462956018,0.293295467,0.542728908,0.263886422,-0.230768427,-0.027638401,0.375516161,0.238571864,-0.099001998,-0.032607328,-0.334592571
All/repeat/mobile_element/Class_I/pararetrovirus,-0.292200031,0.141890578,0.011868012,-0.481578086,-0.209778518,0.218069557,0.527589724,0.090668028,-0.11146458,0.678854144,0.453244204,0.494013191,0.368127724,0.131452739,0.121591388,-0.502171912,0.378407527,-0.409117818,0.289506029,0.534886544,0.451936553,0.316978978,1,0.598614103,0.140542415,0.317065302,0.63258668,-0.177194802,-0.463656877,-0.051616946,-0.187196085,-0.251086897,-0.506149697,-0.497456674
All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA,-0.131001236,0.32775728,0.421658029,-0.076147513,-0.188263219,0.465082101,0.611540051,0.005016113,0.354454267,0.748651591,0.790070357,0.543959518,0.628987366,0.28449517,0.258380129,-0.401393093,0.802077872,-0.332861604,0.144910997,0.45284439,0.873007936,0.462956018,0.598614103,1,0.468077976,0.76500527,0.521976315,0.079048179,-0.28053691,-0.050840309,-0.316323458,-0.268737033,-0.129107543,-0.543596806
All/repeat/mobile_element/Class_II/Subclass_1/TIR/hAT,-0.052654308,-0.035765085,0.142552997,0.181208344,-0.244997371,0.035681619,0.310090209,0.048082542,0.126830429,0.395263309,0.348178113,0.418783928,0.381831136,0.309566582,-0.232638772,-0.232638772,0.514290761,-0.065884062,-0.020788335,0.331373577,0.538001746,0.293295467,0.140542415,0.468077976,1,0.536168856,0.004858701,0.262816162,0.056309673,-0.175728845,-0.26335207,-0.138825488,-0.122990932,-0.346430739
All/repeat/mobile_element/Class_II/Subclass_1/TIR/MuDR_Mutator,0.072616529,0.459342948,0.373933919,0.185195654,-0.287474176,0.381531095,0.537101397,-0.115141482,0.341099985,0.438076163,0.915398905,0.615521652,0.505298256,0.309173253,0.34448983,-0.22145844,0.656096862,-0.187922694,0.160981808,0.391195655,0.936919487,0.542728908,0.317065302,0.76500527,0.536168856,1,0.010791743,-0.103584589,-0.129899203,0.110572268,-0.112639646,-0.299830376,0.140114384,-0.413798988
All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger,-0.364003749,-0.030056914,0.14781538,-0.316798608,0.040073007,0.290912421,0.355643643,0.013831132,0.038391853,0.501251663,0.241011913,0.171492648,0.415420157,0.069175354,-0.016059989,-0.424252571,0.437544917,-0.421078754,0.230378818,0.318530682,0.283562013,0.263886422,0.63258668,0.521976315,0.004858701,0.010791743,1,-0.072791151,-0.381414452,-0.099965897,-0.073116452,-0.231187736,-0.208712382,-0.415680959
All/repeat/mobile_element/Class_II/Subclass_2/Helitron,-0.047957938,-0.086753876,-0.09228427,-0.02353806,0.081722193,-0.14431044,-0.204802499,0.252648322,-0.071428571,0.089234462,-0.222801227,-0.097728286,0.109586247,-0.057756247,-0.071428571,-0.071428571,0.006461202,0.011276392,-0.071428571,-0.162577716,-0.105721478,-0.230768427,-0.177194802,0.079048179,0.262816162,-0.103584589,-0.072791151,1,0.056849609,-0.124233712,-0.130534568,-0.206761406,-0.230879008,0.13927779
All/repeat/rDNA/45S_rDNA,0.699123606,0.006776493,-0.096873481,0.72076932,-0.417387557,-0.116465182,-0.095250759,0.601183796,-0.017401582,-0.122277319,-0.181557351,-0.337007318,0.010042449,0.688001738,0.002680911,-0.189047283,-0.217059085,0.942358424,-0.21018953,0.332498297,-0.19332604,-0.027638401,-0.463656877,-0.28053691,0.056309673,-0.129899203,-0.381414452,0.056849609,1,-0.311597121,-0.309168438,0.706701187,-0.305832724,-0.324815463
All/repeat/rDNA/45S_rDNA/18S_rDNA,0.015425125,-0.150888585,-0.0970307,-0.375856383,0.217120622,-0.042381666,0.103904311,-0.508674257,-0.124233712,-0.383705814,0.259041022,-0.027374407,-0.521091832,-0.324532085,-0.124233712,0.562982982,-0.17641817,-0.20582867,0.727391451,-0.285623593,0.061690045,0.375516161,-0.051616946,-0.050840309,-0.175728845,0.110572268,-0.099965897,-0.124233712,-0.311597121,1,0.829305561,-0.25692606,0.366529492,0.531608126
All/repeat/rDNA/45S_rDNA/25S_rDNA,-0.218570742,-0.158541317,-0.101647392,-0.334281873,0.380029242,-0.263725013,-0.253953194,-0.367574696,-0.130534568,-0.628588278,-0.011311713,-0.256936422,-0.613161942,-0.445796295,-0.130534568,0.502374055,-0.376543348,-0.240166999,0.687722384,-0.4849098,-0.149638002,0.238571864,-0.187196085,-0.316323458,-0.26335207,-0.112639646,-0.073116452,-0.130534568,-0.309168438,0.829305561,1,-0.209751817,0.435376492,0.663792862
All/repeat/rDNA/5S_rDNA,0.421274556,-0.019987173,-0.15761096,0.378174662,-0.275558,-0.080866872,-0.229975839,0.618819894,-0.094128411,-0.098053598,-0.252428165,-0.503181322,-0.249583361,0.451753705,-0.003085323,-0.046661785,-0.296254003,0.70781874,-0.206761406,0.199523169,-0.28409247,-0.099001998,-0.251086897,-0.268737033,-0.138825488,-0.299830376,-0.231187736,-0.206761406,0.706701187,-0.25692606,-0.209751817,1,-0.315651212,-0.132852305
All/repeat/satellite,-0.07633906,-0.206406961,0.383903457,0.059546258,0.556475045,0.278271529,-0.172315512,-0.63514485,0.406378507,-0.419858723,0.086312695,-0.044067731,-0.176845478,-0.441138481,-0.203996201,0.45092571,0.083431217,-0.350503816,0.013420064,-0.602537341,0.011112197,-0.032607328,-0.506149697,-0.129107543,-0.122990932,0.140114384,-0.208712382,-0.230879008,-0.305832724,0.366529492,0.435376492,-0.315651212,1,0.466332661
Other,-0.34022869,-0.214475827,-0.141354578,-0.451317984,0.549960537,-0.35825508,-0.670575945,-0.448654827,-0.091418678,-0.794921747,-0.466796641,-0.493836809,-0.79242776,-0.810065974,-0.162050776,0.835913971,-0.601276313,-0.276174107,0.090945319,-0.886579019,-0.510059116,-0.334592571,-0.497456674,-0.543596806,-0.346430739,-0.413798988,-0.415680959,0.13927779,-0.324815463,0.531608126,0.663792862,-0.132852305,0.466332661,1