,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,mi
bio1,1,0.922937344,0.915272581,-0.065785053,-0.035711787,-0.119559631,0.132845818,-0.032985363,-0.094073134,-0.164046633,0.002720358,-0.243425964,-0.033281084,-0.17627767,0.856872997,0.842338237,-0.222294239,0.887392339,0.863613074,0.023859146
bio10,0.922937344,1,0.698535575,-0.144324074,-0.062261301,-0.208835344,0.223165338,-0.057154522,-0.18600963,-0.124282207,-0.09059702,-0.168022127,-0.331349796,0.208424899,0.931199381,0.613948851,0.096285262,0.888731878,0.730832531,-0.023063143
bio11,0.915272581,0.698535575,1,0.018603569,-0.019516891,-0.004420711,-0.004313364,-0.018512095,0.019242068,-0.230487358,0.1367619,-0.296321069,0.278013828,-0.553617076,0.653156432,0.959083699,-0.52473631,0.704547679,0.899599864,0.060884022
bio12,-0.065785053,-0.144324074,0.018603569,1,0.869496898,0.524528271,-0.214072291,0.910894346,0.544297021,0.64243416,0.655139162,-0.415712005,-0.00978161,-0.195524087,-0.246330244,0.134647335,-0.358400881,-0.103155566,-0.006103978,0.848292682
bio13,-0.035711787,-0.062261301,-0.019516891,0.869496898,1,0.214555704,0.190098114,0.982344777,0.233335064,0.650035302,0.470706144,-0.323031719,-0.153551869,-0.04812899,-0.157435779,0.051481721,-0.190312592,-0.028989002,-0.056703038,0.751584558
bio14,-0.119559631,-0.208835344,-0.004420711,0.524528271,0.214555704,1,-0.647293971,0.241749762,0.987757571,0.338569031,0.354248942,-0.328347831,0.182387693,-0.237696285,-0.308844418,0.109117524,-0.38244563,-0.140160989,-0.01963226,0.433812384
bio15,0.132845818,0.223165338,-0.004313364,-0.214072291,0.190098114,-0.647293971,1,0.135122665,-0.666408407,-0.042500074,-0.268942088,0.31540854,-0.244512594,0.266431575,0.294494585,-0.143254953,0.408618478,0.205743939,-0.070093249,-0.217363121
bio16,-0.032985363,-0.057154522,-0.018512095,0.910894346,0.982344777,0.241749762,0.135122665,1,0.259276435,0.658163457,0.529761405,-0.330739869,-0.158447833,-0.043279356,-0.150643411,0.056886961,-0.190649182,-0.02932924,-0.050662844,0.799616157
bio17,-0.094073134,-0.18600963,0.019242068,0.544297021,0.233335064,0.987757571,-0.666408407,0.259276435,1,0.346286975,0.369556643,-0.365327545,0.176109502,-0.242974863,-0.296651989,0.139286972,-0.40598854,-0.118951037,0.012414721,0.453619697
bio18,-0.164046633,-0.124282207,-0.230487358,0.64243416,0.650035302,0.338569031,-0.042500074,0.658163457,0.346286975,1,0.019798197,-0.247528619,-0.218255622,0.174136762,-0.283687359,-0.177727305,-0.039768017,0.050946861,-0.322560042,0.598330367
bio19,0.002720358,-0.09059702,0.1367619,0.655139162,0.470706144,0.354248942,-0.268942088,0.529761405,0.369556643,0.019798197,1,-0.215090948,0.218605396,-0.296264505,-0.080867621,0.243494497,-0.341018754,-0.204943215,0.217490072,0.526184883
bio2,-0.243425964,-0.168022127,-0.296321069,-0.415712005,-0.323031719,-0.328347831,0.31540854,-0.330739869,-0.365327545,-0.247528619,-0.215090948,1,0.315499876,0.21203719,0.137859852,-0.514851911,0.693154376,-0.150382863,-0.359743703,-0.477207481
bio3,-0.033281084,-0.331349796,0.278013828,-0.00978161,-0.153551869,0.182387693,-0.244512594,-0.158447833,0.176109502,-0.218255622,0.218605396,0.315499876,1,-0.763437775,-0.18530521,0.235005151,-0.419475439,-0.188507121,0.110163667,-0.119974147
bio4,-0.17627767,0.208424899,-0.553617076,-0.195524087,-0.04812899,-0.237696285,0.266431575,-0.043279356,-0.242974863,0.174136762,-0.296264505,0.21203719,-0.763437775,1,0.189656491,-0.597997641,0.829971634,0.075068608,-0.38069259,-0.111666015
bio5,0.856872997,0.931199381,0.653156432,-0.246330244,-0.157435779,-0.308844418,0.294494585,-0.150643411,-0.296651989,-0.283687359,-0.080867621,0.137859852,-0.18530521,0.189656491,1,0.511433863,0.26913402,0.793723356,0.685457533,-0.157416876
bio6,0.842338237,0.613948851,0.959083699,0.134647335,0.051481721,0.109117524,-0.143254953,0.056886961,0.139286972,-0.177727305,0.243494497,-0.514851911,0.235005151,-0.597997641,0.511433863,1,-0.689971736,0.603775126,0.901256938,0.179823517
bio7,-0.222294239,0.096285262,-0.52473631,-0.358400881,-0.190312592,-0.38244563,0.408618478,-0.190649182,-0.40598854,-0.039768017,-0.341018754,0.693154376,-0.419475439,0.829971634,0.26913402,-0.689971736,1,-0.008113008,-0.43271753,-0.334138259
bio8,0.887392339,0.888731878,0.704547679,-0.103155566,-0.028989002,-0.140160989,0.205743939,-0.02932924,-0.118951037,0.050946861,-0.204943215,-0.150382863,-0.188507121,0.075068608,0.793723356,0.603775126,-0.008113008,1,0.572652826,0.013429431
bio9,0.863613074,0.730832531,0.899599864,-0.006103978,-0.056703038,-0.01963226,-0.070093249,-0.050662844,0.012414721,-0.322560042,0.217490072,-0.359743703,0.110163667,-0.38069259,0.685457533,0.901256938,-0.43271753,0.572652826,1,0.04850041
mi,0.023859146,-0.023063143,0.060884022,0.848292682,0.751584558,0.433812384,-0.217363121,0.799616157,0.453619697,0.598330367,0.526184883,-0.477207481,-0.119974147,-0.111666015,-0.157416876,0.179823517,-0.334138259,0.013429431,0.04850041,1